userId,similarUsers
158,6420;3408;12253;6498;5339;10406;11406;5883;11215;11250
159,5795;6268;2144;3653;9039;4372;4066;3645;5051;7008
160,4423;6649;2248;5577;6258;4902;840;10517;9456;7415
161,4933;3332;2961;3970;1000;11534;5962;4764;9254;11687
162,2249;11868;4187;7870;8400;10852;3892;10132;7687;1316
163,10465;445;10427;5681;6641;547;1003;11944;11009;7152
164,5367;118;11805;11612;9768;1406;12649;4264;9100;669
165,10975;9301;10249;2342;10484;3824;12307;135;1590;6583
166,7395;8674;9027;7409;3621;1751;6921;6399;5892;2918
167,3212;7450;4942;8267;834;6120;11833;6987;11830;8235
168,2302;8388;10125;1724;2030;4770;2324;3944;10337;6705
169,5829;2332;2256;4259;4765;1746;10416;11455;11800;1008
170,1510;4161;3151;4569;7109;5139;3081;3618;5899;3415
171,1986;12067;3631;324;5101;2596;8575;11358;9457;10079
172,3430;8008;1781;5459;8086;4148;3221;6804;12181;7985
173,7828;1135;11338;8935;5721;7548;377;1078;8143;8602
174,1580;4076;12237;7390;7716;5388;2732;3903;8345;11677
175,10593;9313;3403;9633;3944;5454;4783;9422;7680;44
176,1042;5377;11360;12314;6704;17;8716;6839;11100;2096
177,12128;6381;11073;7077;2230;9218;5515;4114;5967;9988
178,2354;9891;12041;10981;11411;1409;2107;10436;6598;1124
179,6668;3460;10850;6457;9526;4789;11093;4166;5098;9170
180,5470;10088;2322;7273;4185;5517;8930;2239;202;429
181,9857;8968;9311;1193;11464;2241;9173;11186;10725;10075
182,4561;11327;2943;535;8546;983;12769;2274;2225;1832
183,10863;7168;3496;9801;11057;7841;6271;7600;8963;10314
184,3475;2979;7656;6260;12655;7321;10314;2855;11571;9416
185,11446;8062;8660;7468;12342;1087;7930;7325;2504;1190
186,8495;5865;12245;12880;6349;8102;421;9684;1233;12535
187,6111;6165;9769;6647;4749;1133;3066;7695;1332;5355
188,7180;9337;258;4576;3427;157;9007;4023;7836;9864
189,12509;2049;5039;6874;10669;320;10477;9045;772;9483
190,1645;3961;473;12643;4776;7020;909;6806;1496;2401
191,2346;12214;3906;4510;12650;9622;1715;9032;1739;9445
192,4059;10330;5233;10645;8927;6781;5545;10450;1976;10467
193,263;3918;11070;3909;3462;11444;5912;5470;6345;7179
194,397;5150;78;8052;9607;2902;1189;11158;9197;11618
195,7521;2854;5160;10044;8209;2977;5325;11004;9283;8337
196,7330;3248;2034;3976;6248;6558;3150;1464;12657;2149
197,11972;9857;4103;5483;12264;7452;3733;8664;960;8900
198,5673;3465;11493;3781;11483;3708;7231;7057;11791;9192
199,3504;685;12701;2937;7703;3548;9111;11728;9759;217
200,455;6536;4088;355;6639;10134;12804;7488;6166;3583
